date,amount,currency,trans_status,category,trans_details
2025-01-15,1500.00,USD,deposit,Salary,Monthly salary payment
2025-01-16,50.00,USD,withdraw,Food,Grocery shopping at supermarket
2025-01-17,200.00,EUR,deposit,Freelance,Web development project
2025-01-18,75.50,USD,withdraw,Transportation,Uber rides and gas
2025-01-19,30.00,USD,withdraw,Food,Restaurant dinner
2025-01-20,100.00,USD,withdraw,Entertainment,Movie tickets and snacks
2025-01-21,2000.00,USD,deposit,Bonus,Year-end bonus
2025-01-22,45.75,EUR,withdraw,Utilities,Internet bill payment
2025-01-23,150.00,USD,withdraw,Shopping,Clothing and accessories
2025-01-24,25.00,USD,withdraw,Food,Coffee shop and breakfast
2025-01-25,500.00,USD,deposit,Investment,Dividend payment
2025-01-26,120.00,USD,withdraw,Healthcare,Doctor visit and medicine
2025-01-27,80.00,EUR,withdraw,Entertainment,Concert tickets
2025-01-28,300.00,USD,deposit,Gift,Birthday gift received
2025-01-29,60.00,USD,withdraw,Food,Takeout and delivery
2025-01-30,95.00,USD,withdraw,Transportation,Monthly transit pass